Observed CCS,Adducts,pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15,pca_16,pca_17,pca_18,pca_19,pca_20,pca_21,pca_22,pca_23,pca_24,pca_25,pca_26,pca_27,pca_28,pca_29,pca_30,pca_31,pca_32,pca_33,pca_34,pca_35,pca_36,pca_37,pca_38,pca_39,pca_40,pca_41,pca_42,pca_43,pca_44,pca_45,pca_46,pca_47,pca_48,pca_49,pca_50,pca_51,pca_52,pca_53,pca_54,pca_55,pca_56,pca_57,pca_58,pca_59,pca_60,pca_61,pca_62,pca_63
316.47,[M-H]-,3.547480446358523,-0.404106397263626,0.4990236762410564,-2.786347247733846,0.5817274235377098,0.3304794937886112,0.14952296622057215,0.22619341382352035,-0.016509759559214035,0.5284477014465895,-0.254316491357542,-0.19899715113197955,0.005870314203355552,0.10117020498228106,0.1536575318645705,-0.10267855013588095,-0.09267744772297241,0.14037456210374696,0.06509105090179938,0.04517015480691568,0.030402996169379633,0.02303171960627206,-0.3447945871052132,0.01828752526139432,0.015957065811966705,0.038596478414272314,2.228944230237713e-16,1.405509359933338e-16,-1.680524839093335e-16,-5.587137220822269e-17,1.6837039660895278e-16,-3.2436527222105355e-17,-1.0557062691896562e-16,-1.7497438836096968e-16,-2.1150509637453915e-16,-7.755074475308246e-17,6.052936336984571e-16,-6.907321615623262e-16,2.9901656756791747e-16,1.3761923876978354e-16,-3.2946792516205905e-17,-2.4810930191226577e-16,-4.3633873132680694e-17,-2.161053814880693e-17,-1.0028382992166368e-17,-1.0410555838402784e-17,1.0534742579279442e-17,2.2845917099839976e-17,-1.4836724185778935e-17,-3.236426983862666e-18,6.8323326106602404e-18,-5.835769996605948e-17,-7.387961439295047e-17,1.157005663355141e-16,3.522967585338683e-17,1.6393857682145586e-16,-7.4931982613225065e-28,-3.145168530577226e-29,5.227533396376446e-30,4.6005176719029845e-29,-7.773793803922124e-29,-6.805162615770018e-29,3.302162697605351e-29,7.503768641351944e-30
342.97,[M-H]-,-1.4403154932006959,-0.6095013931096626,3.254566661858555,0.06094084039231564,-0.2390437993545622,-0.3662589555125966,0.023914058915300945,0.3638994408636603,-0.020540484977449362,0.07436355392532962,0.26668644813415665,0.010781647477941768,0.2932109800046169,0.03631658205197599,-0.2876684765087399,0.15194525975492518,-0.3671813732503102,0.059266441949049856,-0.23702638980408838,0.26856678482503815,0.08968543862755034,0.9830199773941795,0.047023175719346465,-0.08788226622657712,-0.04223288048674125,0.0015553558278722545,1.6590763331073513e-16,-4.269315970707043e-17,-1.6638792455014436e-17,-2.1302422180953367e-18,-1.0225090267922202e-18,-1.0050342332540201e-18,3.622866185164077e-18,1.5003729069242898e-18,2.007217371433418e-18,-3.61456903510028e-18,3.7103325117206413e-19,9.734910980525688e-19,-1.0500006627007503e-19,2.1235879634792354e-19,3.2158908936914086e-19,-1.2758123636609738e-19,3.7469424565855104e-20,-2.3198991495924737e-21,-4.3306883583820186e-21,-4.743040540636093e-21,-1.0044419447750992e-20,5.104806686797728e-21,-1.019493783611703e-21,9.28533485842364e-21,-3.832580182976282e-21,6.2107961327876145e-21,2.856833134102427e-22,6.6171398466865204e-21,-6.805300251755065e-21,-7.523699021066912e-22,8.781952363918045e-32,-2.182565021855189e-31,3.5006800403115883e-32,2.923790094407951e-33,7.185766462402685e-32,-5.000722007552296e-32,-3.0329620705418713e-32,-3.827818337105456e-32
297.53,[M-H+HCOOH]-,-0.9878441930084872,0.4651266443204061,-0.5184020429762812,-0.34145936511302066,-1.2574072936746263,-0.21521846942854136,-0.8467509541036542,-0.7198550839173425,-0.007701307663256105,0.9646492994939672,0.6340486101234533,0.4058938879233331,0.16853467343563552,0.6264209447135851,0.14988741699012692,0.19425555621616492,0.13297477822784265,0.1822804985084924,0.16229895855478546,-0.2391760847183195,0.16172264624784793,0.029126319237025484,0.0897432773596985,-0.05075267907564019,-0.026647254535839056,0.09542026254712362,1.1270915538882455e-16,-2.6354738270961e-16,9.982472100079205e-17,-1.3616885113127894e-16,3.1986331154879156e-17,-9.732728624284193e-17,-2.209541790074802e-16,-3.5503294543667893e-17,-4.7323120871375765e-17,1.6724353734391227e-16,2.0299434638463275e-16,1.3513287980064796e-16,2.0318225694121722e-16,1.5263422942307425e-16,-8.594160795913267e-16,3.689384736195482e-16,-1.3245214849884483e-17,-8.414644229747815e-18,2.274545522698084e-18,-5.876014750327691e-19,1.606637633204427e-18,-6.7741160416122856e-18,9.567056733481912e-19,3.621310978618666e-18,-5.954571801630093e-19,-3.749699082036162e-20,-1.6658637941585208e-19,1.2644678193216386e-18,9.581909892093257e-19,-6.267262982495521e-19,9.046492665672734e-31,2.215753187963336e-31,-5.852171847762401e-32,3.5767594434756875e-31,-2.324759256606346e-31,1.6491882405369012e-31,-3.986493967754788e-32,4.424081238121276e-31
313.42,[M-H]-,2.052873485974677,-0.19351919416890534,0.2176404837903632,0.5322965155163841,-0.3575754320209314,-0.7806713632909442,0.17604153191361635,-0.7617230692760236,-1.8818908541847188,-0.7145800608311353,-0.7228166798560876,-0.10300291065913911,-0.026423260494240097,0.2694516733012971,0.2235666530558462,0.11150104563827487,-0.06141455305320673,-0.07963361909713781,-0.0023072384647494022,0.01637291772256887,0.058662320576527704,0.001133931890292692,0.03225868815852416,-0.005079422832350898,-0.009340868888239309,-0.012610062247515978,1.2139914824203532e-16,-5.908307323659519e-17,-1.2614153727258305e-16,-1.7343192998042704e-16,1.25969188356463e-16,-1.0212112384787558e-15,4.1484377868397004e-16,4.52887471678816e-17,-1.5338879496622783e-17,3.855906361575066e-17,-1.2902246087161754e-17,4.805919729885736e-18,-3.662400728103809e-17,-4.766576862125589e-17,-1.187981878802668e-18,-2.3750919902774583e-18,8.511049738043172e-19,1.2074969029547814e-19,3.160441696325157e-19,4.2600242716971213e-19,5.791745746410045e-19,-3.436261313086122e-19,-2.2390198683757885e-19,6.40986574420076e-19,-2.1236238707122e-19,4.848439390478933e-20,-2.6214251588961787e-19,-8.459006132983067e-20,-3.010536931173032e-19,1.4590579923029926e-20,1.184744333637091e-31,-2.5057124218973686e-32,2.1559479622314727e-33,6.54864118291173e-32,-1.274181650762994e-31,-1.5680492885919623e-31,8.08004508039184e-32,6.807332834302333e-32
274.31,[M-H+HCOOH]-,-1.084978931968648,0.565416360158507,1.8437071719066827,-0.3515212540522732,-1.1223471193656491,0.23069112260857005,-0.7894543976204589,0.11804201862831058,0.8492902414308668,-0.6564332433146965,-0.7354616420211796,0.09177860137754879,-0.27538621726531753,-0.17959008599616,0.9816503456744667,-0.18233854032531735,0.696186050837559,-0.5912980705048212,0.6003711600385805,-0.008044011284186664,-0.15665467009657058,0.25810869431623423,0.0005942077587800097,0.2178102065429512,0.21501371271841613,0.0046359123720930845,1.6590763331073498e-16,-4.269315970707017e-17,-1.6638792455014263e-17,-2.130242218095419e-18,-1.0225090267922718e-18,-1.0050342332535192e-18,3.622866185164112e-18,1.5003729069240785e-18,2.007217371433139e-18,-3.614569035100538e-18,3.7103325117189114e-19,9.73491098052223e-19,-1.0500006626986843e-19,2.1235879634806526e-19,3.2158908936932825e-19,-1.2758123636565206e-19,3.746942456578063e-20,-2.3198991493408265e-21,-4.330688358086679e-21,-4.743040540938791e-21,-1.0044419447273373e-20,5.104806687070546e-21,-1.0194937837313704e-21,9.285334859005799e-21,-3.832580183192269e-21,6.210796132579209e-21,2.8568331325769287e-22,6.6171398466216564e-21,-6.805300251569783e-21,-7.523699021811643e-22,-3.448777204834378e-32,-9.627367970456902e-32,-1.777837050692831e-32,-8.924440488791652e-32,-1.0789555287615689e-32,4.484681083672929e-32,-8.230109397685256e-32,-4.0404688401049614e-32
322.97,[M-H]-,3.650037894529607,-0.411061563650837,0.5045219245984396,-2.806261523954359,0.6172974505135701,0.21032560594563054,0.25837627476921393,0.15636278623509978,0.18058020590404267,0.4899031125018275,-0.24153894957575428,0.21484526252430397,0.1949431700947752,0.01719116243119457,0.14842183978533546,-0.272784549791355,-0.14849265153101254,0.2663875426425152,0.15021012930709962,0.2794951676527903,-0.42182232642257406,-0.060924930688935626,0.8280000005823341,-0.025195017397017457,-0.0029506566770708814,-0.012938843221177854,1.6590763331073538e-16,-4.2693159707070623e-17,-1.6638792455014115e-17,-2.1302422180952967e-18,-1.0225090267923475e-18,-1.0050342332538651e-18,3.622866185164155e-18,1.5003729069242393e-18,2.0072173714332257e-18,-3.61456903510034e-18,3.7103325117222745e-19,9.734910980524248e-19,-1.0500006627038253e-19,2.1235879634782024e-19,3.215890893690736e-19,-1.2758123636597966e-19,3.746942456588994e-20,-2.319899149472356e-21,-4.3306883584426786e-21,-4.743040540751857e-21,-1.0044419447673366e-20,5.1048066870598856e-21,-1.0194937837463852e-21,9.285334858650325e-21,-3.8325801832879874e-21,6.2107961329996225e-21,2.856833135159465e-22,6.617139846678112e-21,-6.805300251652965e-21,-7.523699019769637e-22,7.515005371037806e-32,-1.2164952888495282e-31,6.975979120311068e-32,3.274365691695666e-32,-1.2177980766816163e-31,-2.8021806165090333e-32,7.390180900538203e-34,2.720348233796686e-32
286.76,[M-H]-,3.4470570745454427,-0.1701402927665071,0.2704624953253781,-3.1430197714920594,-0.7508706811939503,0.37755686950769674,-0.6087232013442252,0.10380664804196,0.3976622801060484,0.3452097292405136,-0.5774948023462229,-0.19380652957916494,0.15737437502785662,0.0373691608630219,0.04903890478962664,-0.013841607185174246,-0.1311091272557875,0.20142156638541736,0.025232167554995393,0.0689059934891687,0.16071374819173445,-0.01449843981967454,-0.28691710537643855,0.005737062434706727,-0.032151176615125836,0.011103553414158657,5.1203596798077974e-17,-4.0973652590905324e-16,2.6488340624177707e-16,2.0659079649747782e-16,-6.188154349837213e-16,8.687295123254986e-17,4.914271635702683e-16,4.595114522699562e-16,7.384694030278562e-17,1.4921647598425848e-16,-7.718176369742555e-17,1.677814551939993e-16,-8.681802203434133e-17,-9.454602093910414e-17,-6.260554049933627e-18,-1.425641438414697e-17,2.0065492564642047e-18,1.7949868112597197e-18,-1.4340503826049528e-18,1.5530721607817823e-18,2.8022244499232746e-18,-2.067086729034269e-20,1.1514643995784568e-19,1.2343807906036213e-19,3.020829048961406e-19,2.7685079765301206e-19,-3.12346027793282e-19,-3.5999575440798286e-19,-6.125137008514152e-20,-4.570281093521144e-20,2.007070162321111e-31,6.062489730169883e-32,-1.6648812902163267e-32,1.4108832856539487e-32,-6.473427711799481e-32,-5.999478253524441e-32,2.945963791568391e-32,7.676795012285757e-32
300.84,[M-H+HCOOH]-,-1.3595229344025423,-2.5402853098066087,-1.0931542579487568,0.09066660420155352,0.15525087354260855,-0.400685237331396,-0.00511862889973051,0.8381091378880218,-0.027214044760959625,0.3141988305282657,-0.34878912183414057,0.19506059824500935,0.002910356609720337,0.004215882307864891,-0.034962626032949036,-0.08587332000557335,0.050052795774480706,-0.024027941858591115,-0.0050336168291708686,-0.03460007455293434,-0.036554401332136346,0.012722135878461525,-0.013933006566612104,0.03507314731777326,-0.01870947292003738,0.0030546413533199144,2.712421893767715e-16,2.2823895322076976e-16,1.452264652395065e-17,-1.3050262361365266e-16,-8.070090350240716e-17,-4.8751799102657636e-17,-7.683888415852356e-17,3.2411007122068277e-16,-9.887559015556128e-17,9.834461524909143e-17,-2.686295615753356e-17,-5.955584604394614e-17,1.825847661865985e-16,-7.01666086840528e-17,3.076844462874217e-17,1.1597402375626667e-16,7.006540852039918e-17,4.9612806962181455e-16,-2.221856617721734e-16,-3.202008169469004e-16,5.856073984182594e-17,-4.947166803586442e-16,-2.02164060185097e-16,1.6338317463811827e-16,3.321881245732886e-16,-4.706980825515251e-17,3.245091760765668e-16,-5.336609533736378e-16,-1.5824110042560528e-16,2.633680365936453e-16,-2.854711062125571e-28,1.2665549715002115e-29,-3.4549725061176294e-29,9.962907433861261e-30,-5.1228588512602746e-30,-2.298330151910047e-29,-1.246412240051644e-29,3.323112047109373e-31
321.11,[M-H+HCOOH]-,-0.6024588568013336,0.7402785270422921,-0.35566767972015145,0.051815499354003376,0.5733202197904711,0.0024646685154984397,0.10118550340681831,0.19169769161405592,0.10679743711054795,-0.014757365638291026,-0.021619695408692827,-0.11120938994260075,-0.05981728751600699,-0.003191273610217479,0.01864319324961284,-0.12441297744158426,-0.04822162253106729,-0.014940917076482155,-0.0599511936963183,-0.0039585152033096895,0.005434866378037413,0.006546207571765104,-0.0017313537253315081,0.022820276423538476,0.019572642469216944,-0.013586249528984838,1.2933582960463818e-16,-1.8073191864510902e-16,1.129374611055154e-16,-5.703640454975239e-17,1.300149468550843e-16,5.2535159642937514e-17,1.9750933754054323e-16,-1.7643634550536267e-16,2.0341224681473275e-16,7.21144384374809e-17,6.8809252511586e-17,1.5585460364727108e-17,2.6489492504165077e-16,-1.2807870591829192e-16,8.427872436527755e-17,1.546604155522391e-16,1.9229128550279372e-16,-5.108568553558628e-16,-1.0397975690057669e-16,5.586459308879854e-16,-2.742425093784388e-16,-5.101032154412614e-16,-9.991734135688423e-17,-3.593512924068188e-16,9.931515202608046e-17,1.7286544735766013e-17,5.634794657276151e-16,2.2890232547379555e-17,2.320708352977743e-16,2.5865093748096e-16,-6.13777409554257e-28,1.660307674045026e-29,-2.6349786550018136e-29,-3.89665662647859e-29,-2.830929801283188e-29,-2.3450132437329674e-29,-3.025481658007662e-30,-3.756528374053118e-30
333.51,[M-H+HCOOH]-,-0.7558082059113562,0.5680743585709346,0.7257973559716957,0.26766645088864444,0.4032317433871305,0.43399478577437567,-0.08577127101359273,0.3955560363729892,0.27651177836787577,-0.0508116476880684,-0.09148162563677315,0.3457616263229875,-0.5290602008159526,-0.37259090758637453,0.7541777973745252,0.14389751870341785,-0.6942951823558011,-0.4643373209164429,0.37476707997512776,-0.2404109713499674,-0.12445113210903921,-0.05338013871904411,-0.05088637147163973,-0.2930007173947296,-0.4688313119934489,-0.0016566602351003228,1.6590763331073488e-16,-4.2693159707070476e-17,-1.6638792455014365e-17,-2.130242218095222e-18,-1.0225090267924606e-18,-1.0050342332536922e-18,3.622866185163989e-18,1.5003729069239739e-18,2.0072173714335138e-18,-3.6145690351002594e-18,3.7103325117200164e-19,9.734910980526216e-19,-1.0500006627030566e-19,2.123587963477875e-19,3.2158908936924293e-19,-1.2758123636592022e-19,3.746942456581426e-20,-2.3198991493612466e-21,-4.3306883585832165e-21,-4.743040540722128e-21,-1.0044419447487484e-20,5.104806687157181e-21,-1.0194937836611015e-21,9.285334858740112e-21,-3.832580183317717e-21,6.2107961327473746e-21,2.856833134414733e-22,6.617139846606041e-21,-6.805300251511225e-21,-7.523699021451289e-22,1.0655339532431754e-31,-8.324217668902027e-32,1.0903781678559429e-34,9.57431940722769e-32,-7.805162080752448e-32,-5.057795208674296e-33,1.1156886321537584e-32,-3.126406020055972e-32
