Observed CCS,Adducts,pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15,pca_16,pca_17,pca_18,pca_19,pca_20,pca_21,pca_22,pca_23,pca_24,pca_25,pca_26,pca_27,pca_28,pca_29,pca_30,pca_31
316.47,[M-H]-,0.8003116551065936,1.19482323381793,-0.3900317971554476,0.17870433642487302,-0.6012887097894056,0.09529669542135541,0.12897396178352183,0.15357301132245463,0.059278984089287994,-0.04213226025318423,-0.0036734420182210053,-0.303633095679416,0.10739362193860935,-0.41647887945522954,0.44910886257462457,-0.2903315427411561,0.12470872149980143,-1.2228079183740567e-17,-9.573128515554872e-17,-9.585668058889861e-17,4.475288262527592e-17,7.144459018022923e-17,1.983336777220686e-17,-1.8119790963212973e-17,3.337097986600816e-17,-3.7130669028611375e-17,3.1919074640175516e-17,-2.475401334242675e-17,2.275411666804734e-17,-1.0293100179762318e-17,-6.726701430602968e-17,1.3324138163290734e-17
342.97,[M-H]-,-0.8335117616596756,5.71595074114563e-05,0.4657605775898481,0.14942624879871755,-0.5869183928628869,0.18138878020610208,-0.507205101997639,0.044301337752095125,0.6107822430184943,-0.2675423428149058,0.08208131116996209,0.2090815236293352,0.031168052000884273,-0.03780773438889749,0.262229841982097,0.6451645922675856,0.3720145108713603,-4.3060889407065196e-17,1.4161956523063562e-17,-1.9484992000462915e-17,3.1891605036551897e-18,-3.618222744843395e-18,-7.470840098691455e-18,1.3448325870787398e-17,-2.347449896078838e-18,9.528419852425352e-18,4.5301995146912065e-18,-2.4348790610480106e-18,1.368620590502022e-17,1.4720921313507556e-18,-3.3949533506751534e-18,6.246194734835948e-19
297.53,[M-H+HCOOH]-,0.27995557781275693,-0.45540667349900915,0.2940693355308789,0.40655453374336675,0.21065314180797348,0.20840592124443522,0.1723337624423904,0.6172348013342348,0.09653434702165334,0.013910408538781269,0.024181102476216246,0.018862636250441742,0.005280755353618327,-0.005131286540918709,-0.0024466787203526103,-0.002754886586521343,-0.02229605112716485,-5.419609632939301e-17,5.032948641355687e-17,3.053007645363854e-17,-2.5068688678861672e-17,1.9434851750940592e-17,-5.653328333600207e-17,-5.732289123057241e-17,4.56618397193528e-18,-5.587308923969087e-17,1.1083868698035644e-16,-6.819676582324773e-17,2.6175381034214613e-17,2.1847340257458486e-16,-6.262390180904388e-17,-8.926580374708427e-17
313.42,[M-H]-,0.42500125726085564,0.39115602566744867,0.11642523399842877,-0.08040182783120284,0.327049953415772,0.11742171588409747,-0.39612785281357665,-0.12580891434803773,-0.027086453774881804,-0.11977157245235559,-0.22430070555901138,-0.008910512618433494,-0.004788919113177323,0.0036242380447229264,-0.02316200123351729,0.012572024639965644,-0.01899755884670201,-1.054058177483538e-16,-9.789156416467737e-18,2.7463033578482712e-17,-9.165551003466474e-17,9.664501395913473e-18,-8.501585098473933e-17,2.084627666112021e-17,-1.5006544298298423e-16,-3.453938147759179e-17,4.096499065406079e-17,8.23904407453309e-17,-6.357065148770082e-17,8.098878348663791e-17,-6.176884427884281e-17,-5.420027243836138e-17
274.31,[M-H+HCOOH]-,0.07132598571611827,-0.43448448145182095,-1.041843624532432,-0.026776575003661252,-0.330839935638913,-0.6264640923599377,0.18703648724385538,-0.03472302309914445,0.167048341265247,-0.31738169492508106,-0.1044549847081476,-0.45716908061422246,0.44847559491801325,0.07882019675597524,0.07760388063271172,-0.015931875848050458,-0.00897542946720787,-1.3965506169977712e-16,8.157482132369242e-17,7.805471814812595e-18,-1.4610813953240235e-17,-9.728361623993747e-18,-2.576591963877296e-18,5.462013184710681e-17,-6.295809165816473e-18,1.018564135996151e-16,-5.1263777641790794e-17,4.3798231209715014e-17,-1.0497427843341024e-17,1.5834600320270863e-17,8.71754582465657e-17,-4.062280222091175e-18
322.97,[M-H]-,0.46035934554445695,1.4762888950826614,-0.2613613107091114,-0.08263749210726472,-0.16266539126729504,-0.08724430728440963,0.9066297522024596,-0.014534397121218222,0.28114772727819387,-0.05711065458675595,0.17745389939169015,-0.13052917475573445,0.1826955621635282,0.4543329524988141,-0.3786233647424649,0.2275319529917111,-0.05446872962676627,-1.2228079183740869e-17,-9.573128515554877e-17,-9.585668058889852e-17,4.475288262527591e-17,7.14445901802293e-17,1.9833367772206924e-17,-1.811979096321289e-17,3.337097986600808e-17,-3.7130669028611234e-17,3.191907464017546e-17,-2.4754013342426764e-17,2.2754116668047205e-17,-1.0293100179762335e-17,-6.726701430602947e-17,1.3324138163290685e-17
286.76,[M-H]-,0.6185547682403326,1.242295689958429,-1.2645090913673451,0.38404975015450665,-0.7760688159200678,-0.1230949757891334,0.38991924609141776,0.1490208592733005,-0.15291459899339274,-0.08428474639893802,-0.16965298190007874,0.3096938140811248,-0.16227943958890229,-0.024356041996745556,-0.024979402478105633,0.01284107686714927,-0.008700787577418248,-2.634002394966842e-16,4.338280989417695e-17,2.2065920510660175e-17,-4.379699425486427e-17,1.2235063971968593e-17,-4.16895249609005e-17,2.287956690534115e-17,2.6650635481663963e-17,1.3266327220011956e-17,3.291020363008017e-17,1.1665126869362758e-16,-2.8951770984046635e-17,2.2888557970374414e-17,1.0946493113947534e-16,1.1414252094292542e-16
300.84,[M-H+HCOOH]-,-2.007685668866684,0.3633357268895694,-0.2483781317060973,0.009154538726205632,0.08240685116320988,-0.2016912097874313,0.20439519117468768,0.20664416218306803,-0.31079718241016424,0.3109449214631404,-0.08455427030214288,-0.06583410984678356,0.005991384370421482,-0.03392673537624733,0.06711290651343357,0.08988130945276532,-0.07277318474105382,4.630251489631029e-17,1.6824990817678839e-16,-7.26935043644445e-17,4.896766538079449e-17,-6.634971135839236e-18,1.1658033691704971e-16,6.761078246411345e-17,-6.42212557085732e-17,-1.571413435455123e-16,9.649256773972653e-17,1.1981733754533953e-17,1.6486113729959295e-17,-1.792162807184928e-16,-2.7058930255702398e-18,-2.1018002090789138e-17
321.11,[M-H+HCOOH]-,0.21360388793996923,-0.2614462609356902,0.34735832687466733,-0.07593110289709017,-0.1542534109105697,-0.08874563788663171,-0.0387291158034927,-0.02397676950737451,-0.08298132403707043,0.06323805193969405,-0.06244623005000839,-0.01363657252003317,-0.018770201013210613,-0.02183643180582997,-0.02269107971563183,0.02372521456320244,-0.0213373011882016,-1.1472421450988693e-16,-3.298726008685901e-17,-5.3812581520660825e-18,-2.871829101741288e-17,-2.957072468397111e-17,8.162967256633961e-18,-3.1824008541296677e-17,1.6011073961215943e-17,8.546676264773689e-17,-7.270062564326023e-17,6.148164492322843e-17,-5.252398287089655e-17,-1.2209482359225432e-16,-1.403386213854104e-16,-1.6231280735897513e-17
333.51,[M-H+HCOOH]-,0.2136038879399692,-0.26144626093569023,0.34735832687466733,-0.07593110289709006,-0.1542534109105696,-0.08874563788663171,-0.03872911580349237,-0.02397676950737478,-0.08298132403707008,0.06323805193969394,-0.06244623005000829,-0.01363657252003308,-0.01877020101321066,-0.021836431805829927,-0.022691079715631782,0.023725214563202455,-0.02133730118820164,-7.297901233315889e-17,1.3160886039959277e-17,-6.530824313728957e-17,4.553242205869832e-17,2.5928268243056067e-17,-1.133226113447173e-17,3.5911585558635134e-17,2.3698869456318782e-17,7.54347770112733e-17,-1.448185953230976e-17,4.9078879002651107e-17,2.1091572576423598e-17,-1.0563604308263467e-17,-1.054750499988045e-16,3.530985176946894e-17
365.47,[M-H+HCOOH]-,0.21360388793996923,-0.26144626093569023,0.34735832687466733,-0.07593110289709004,-0.1542534109105696,-0.08874563788663206,-0.03872911580349254,-0.02397676950737451,-0.08298132403707091,0.06323805193969415,-0.06244623005000824,-0.01363657252003317,-0.01877020101321063,-0.021836431805829955,-0.02269107971563181,0.02372521456320248,-0.021337301188201686,-9.325501425571305e-17,2.8540888379710704e-17,5.3400919084891974e-18,2.967063977969131e-17,-5.710354928094692e-17,7.906211237015376e-17,1.2067266005521914e-16,-5.152734933062212e-17,5.524238609926929e-17,6.641698530680803e-17,-4.942431099641048e-17,7.992100912727167e-18,3.296564272297804e-17,-5.814285157061812e-17,5.583573553458035e-17
