Observed Retention time,Adducts,pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15,pca_16,pca_17,pca_18,pca_19,pca_20,pca_21,pca_22,pca_23,pca_24,pca_25,pca_26,pca_27,pca_28,pca_29,pca_30,pca_31,pca_32,pca_33,pca_34,pca_35,pca_36,pca_37,pca_38,pca_39,pca_40,pca_41,pca_42,pca_43,pca_44,pca_45,pca_46,pca_47,pca_48,pca_49,pca_50,pca_51,pca_52,pca_53,pca_54,pca_55,pca_56,pca_57,pca_58,pca_59,pca_60,pca_61,pca_62,pca_63
33.79,[M-H]-,0.8003116551065936,1.19482323381793,-0.3900317971554476,0.17870433642487302,-0.6012887097894056,0.09529669542135541,0.12897396178352183,0.15357301132245463,0.059278984089287994,-0.04213226025318423,-0.0036734420182210053,-0.303633095679416,0.10739362193860935,-0.41647887945522954,0.44910886257462457,-0.2903315427411561,0.12470872149980143,-1.2228079183740567e-17,-9.573128515554872e-17,-9.585668058889861e-17,4.475288262527592e-17,7.144459018022923e-17,1.983336777220686e-17,-1.8119790963212973e-17,3.337097986600816e-17,-3.7130669028611375e-17,3.1919074640175516e-17,-2.475401334242675e-17,2.275411666804734e-17,-1.0293100179762318e-17,-6.726701430602968e-17,1.3324138163290734e-17,-2.530137232647998e-17,-5.2050554163062344e-17,3.6016104708437425e-17,2.50503053450531e-17,-3.712785794725229e-17,-6.990836282552258e-18,2.888275967391735e-17,5.726029173575267e-17,-2.3489603492092672e-18,5.010762250401933e-17,-1.9288319294231452e-17,-5.791380209257244e-18,-2.6225526117871904e-17,3.759404557485966e-17,1.0543451061285687e-17,-2.846248710662724e-17,4.038553171487663e-17,-1.0227716827033943e-17,-3.3202664343788666e-17,6.373635931826116e-18,-2.7978735255538024e-17,1.624177795519934e-17,1.8485386989799197e-17,1.6632728122405437e-17,-1.1799867563205564e-17,8.670341086949996e-20,1.5694029860935803e-20,1.388190689630298e-20,1.3868271659873192e-20,2.2978962917728864e-20,1.3073171341477076e-20,1.6058976395256005e-21
25.28,[M-H]-,-0.8335117616596756,5.71595074114563e-05,0.4657605775898481,0.14942624879871755,-0.5869183928628869,0.18138878020610208,-0.507205101997639,0.044301337752095125,0.6107822430184943,-0.2675423428149058,0.08208131116996209,0.2090815236293352,0.031168052000884273,-0.03780773438889749,0.262229841982097,0.6451645922675856,0.3720145108713603,-4.3060889407065196e-17,1.4161956523063562e-17,-1.9484992000462915e-17,3.1891605036551897e-18,-3.618222744843395e-18,-7.470840098691455e-18,1.3448325870787398e-17,-2.347449896078838e-18,9.528419852425352e-18,4.5301995146912065e-18,-2.4348790610480106e-18,1.368620590502022e-17,1.4720921313507556e-18,-3.3949533506751534e-18,6.246194734835948e-19,-9.057688383251744e-18,-5.857719252299741e-18,-3.0832081849280912e-18,3.041207404972979e-18,-1.1812368429942924e-18,7.469560475062836e-18,5.4773162300165065e-18,1.2621969139718019e-18,4.6734461186679515e-18,1.6939631910719088e-17,3.584152070655389e-18,-3.128149137576561e-19,-2.2645792562191417e-18,4.1547432853249926e-18,-5.048122340500837e-19,-8.149304347841891e-20,1.0586336427883214e-18,8.008438299687363e-19,4.478504017948613e-19,7.997082969783948e-28,-1.5251687067111478e-28,-1.6339506373536833e-28,-3.1251900907127526e-29,3.9532115829640553e-29,-2.98468452894894e-29,3.2157850454618263e-31,-3.980755794204978e-31,6.707975493225714e-31,6.620235757157576e-31,7.540570564374519e-32,-4.82221744414358e-31,-2.111248484812931e-31
45.04,[M-H+HCOOH]-,0.27995557781275693,-0.45540667349900915,0.2940693355308789,0.40655453374336675,0.21065314180797348,0.20840592124443522,0.1723337624423904,0.6172348013342348,0.09653434702165334,0.013910408538781269,0.024181102476216246,0.018862636250441742,0.005280755353618327,-0.005131286540918709,-0.0024466787203526103,-0.002754886586521343,-0.02229605112716485,-5.419609632939301e-17,5.032948641355687e-17,3.053007645363854e-17,-2.5068688678861672e-17,1.9434851750940592e-17,-5.653328333600207e-17,-5.732289123057241e-17,4.56618397193528e-18,-5.587308923969087e-17,1.1083868698035644e-16,-6.819676582324773e-17,2.6175381034214613e-17,2.1847340257458486e-16,-6.262390180904388e-17,-8.926580374708427e-17,-1.949180745345695e-17,-1.1466434595403561e-16,-1.3343917732321093e-16,-2.2166046519115967e-17,2.83238427496633e-17,9.870440652049496e-17,5.019273875482421e-17,7.249457953776434e-17,8.208922355769265e-18,-8.966393051476137e-17,1.016159115941542e-16,-4.5466446219101324e-17,1.3575477352593435e-16,2.851426009739124e-17,2.1708886754952512e-17,3.877097917374134e-17,-6.852392513320224e-18,3.123466137120813e-17,-8.328499159364339e-18,5.749223431424655e-17,1.7836347324169303e-17,1.4394066978365948e-17,1.965691282418282e-17,-1.3740345458362397e-17,-1.7609210387341716e-17,-2.477398659149833e-19,-9.227989740857927e-20,8.458651454600561e-20,2.002824341846822e-20,2.2059059087144858e-21,4.4736339557855375e-22,-1.7664891875837194e-20
53.47,[M-H]-,0.42500125726085564,0.39115602566744867,0.11642523399842877,-0.08040182783120284,0.327049953415772,0.11742171588409747,-0.39612785281357665,-0.12580891434803773,-0.027086453774881804,-0.11977157245235559,-0.22430070555901138,-0.008910512618433494,-0.004788919113177323,0.0036242380447229264,-0.02316200123351729,0.012572024639965644,-0.01899755884670201,-1.054058177483538e-16,-9.789156416467737e-18,2.7463033578482712e-17,-9.165551003466474e-17,9.664501395913473e-18,-8.501585098473933e-17,2.084627666112021e-17,-1.5006544298298423e-16,-3.453938147759179e-17,4.096499065406079e-17,8.23904407453309e-17,-6.357065148770082e-17,8.098878348663791e-17,-6.176884427884281e-17,-5.420027243836138e-17,2.665044815011913e-17,-8.61915836299282e-17,2.1255523343812728e-16,-1.2754351624252441e-16,1.4240660758666585e-17,-1.536528762945644e-17,1.3423793134958203e-17,-3.265745358659286e-17,8.504310752564087e-17,1.0918752190893492e-16,2.4946365348604255e-17,5.813774969767948e-17,-2.7695688759497446e-17,-4.034071377809758e-17,-6.47605337254658e-17,8.031871636709238e-17,-3.79021173326817e-17,-1.2028131679357586e-17,2.1286885788579325e-17,-1.8436894181814668e-17,1.713940505328257e-17,-4.59268070225405e-17,-3.535083333714438e-17,-5.201790096635891e-18,4.398195814395747e-17,-2.3725527437130297e-19,2.5080192461182362e-20,-5.1815836299928744e-20,-1.0642365252001872e-20,-3.789203533138664e-20,-1.9168520877816263e-20,9.130227629700102e-21
23.78,[M-H+HCOOH]-,0.07132598571611827,-0.43448448145182095,-1.041843624532432,-0.026776575003661252,-0.330839935638913,-0.6264640923599377,0.18703648724385538,-0.03472302309914445,0.167048341265247,-0.31738169492508106,-0.1044549847081476,-0.45716908061422246,0.44847559491801325,0.07882019675597524,0.07760388063271172,-0.015931875848050458,-0.00897542946720787,-1.3965506169977712e-16,8.157482132369242e-17,7.805471814812595e-18,-1.4610813953240235e-17,-9.728361623993747e-18,-2.576591963877296e-18,5.462013184710681e-17,-6.295809165816473e-18,1.018564135996151e-16,-5.1263777641790794e-17,4.3798231209715014e-17,-1.0497427843341024e-17,1.5834600320270863e-17,8.71754582465657e-17,-4.062280222091175e-18,8.853743116062198e-17,-3.9425908500081794e-17,-1.615845593749094e-17,3.3833764661325034e-17,5.865718329113646e-17,1.818478016613138e-18,-5.055808285590843e-17,1.011752497061926e-16,-3.5912297572838335e-18,-4.621011637589061e-17,9.933990856126623e-17,4.0247356619278907e-17,3.373454140851489e-17,-9.823801519443992e-17,3.561187027881694e-18,-5.3333351023157916e-17,5.367426352533284e-18,-1.1970889596691239e-16,-1.8527822750878343e-17,8.223468173430013e-18,3.290090513931073e-17,-6.696601689657094e-17,-4.0800605944269376e-17,1.9485436847680297e-18,4.6337441198782685e-17,-2.1627017505006863e-19,3.9942021243083146e-20,-5.717857800015195e-20,-8.30656898943791e-21,-3.694708230255032e-20,-2.0616767037580616e-20,9.103805418944945e-21
33.11,[M-H]-,0.46035934554445695,1.4762888950826614,-0.2613613107091114,-0.08263749210726472,-0.16266539126729504,-0.08724430728440963,0.9066297522024596,-0.014534397121218222,0.28114772727819387,-0.05711065458675595,0.17745389939169015,-0.13052917475573445,0.1826955621635282,0.4543329524988141,-0.3786233647424649,0.2275319529917111,-0.05446872962676627,-1.2228079183740869e-17,-9.573128515554877e-17,-9.585668058889852e-17,4.475288262527591e-17,7.14445901802293e-17,1.9833367772206924e-17,-1.811979096321289e-17,3.337097986600808e-17,-3.7130669028611234e-17,3.191907464017546e-17,-2.4754013342426764e-17,2.2754116668047205e-17,-1.0293100179762335e-17,-6.726701430602947e-17,1.3324138163290685e-17,-2.5301372326480003e-17,-5.205055416306236e-17,3.601610470843742e-17,2.5050305345053013e-17,-3.712785794725217e-17,-6.990836282552291e-18,2.8882759673917346e-17,5.726029173575254e-17,-2.3489603492092387e-18,5.010762250401934e-17,-1.9288319294231523e-17,-5.791380209257269e-18,-2.6225526117871836e-17,3.759404557485977e-17,1.0543451061285618e-17,-2.8462487106627194e-17,4.0385531714876655e-17,-1.0227716827033853e-17,-3.3202664343788666e-17,6.373635931826076e-18,-2.797873525553808e-17,1.624177795519932e-17,1.8485386989799197e-17,1.6632728122405428e-17,-1.1799867563205521e-17,8.670341086951486e-20,1.5694029860948843e-20,1.388190689623587e-20,1.3868271659849332e-20,2.2978962917710814e-20,1.3073171341446349e-20,1.6058976395163863e-21
39.24,[M-H]-,0.6185547682403326,1.242295689958429,-1.2645090913673451,0.38404975015450665,-0.7760688159200678,-0.1230949757891334,0.38991924609141776,0.1490208592733005,-0.15291459899339274,-0.08428474639893802,-0.16965298190007874,0.3096938140811248,-0.16227943958890229,-0.024356041996745556,-0.024979402478105633,0.01284107686714927,-0.008700787577418248,-2.634002394966842e-16,4.338280989417695e-17,2.2065920510660175e-17,-4.379699425486427e-17,1.2235063971968593e-17,-4.16895249609005e-17,2.287956690534115e-17,2.6650635481663963e-17,1.3266327220011956e-17,3.291020363008017e-17,1.1665126869362758e-16,-2.8951770984046635e-17,2.2888557970374414e-17,1.0946493113947534e-16,1.1414252094292542e-16,4.9128114583781933e-17,-1.58589310497796e-17,-1.983095609310475e-17,-1.5964867988793864e-16,7.088366357252809e-18,-8.682149067439412e-18,7.010447654747602e-17,-4.656477532751109e-17,-1.0000207739950197e-16,-5.5020402863717133e-17,-2.6376058154481773e-17,-1.5611105405897727e-17,-4.220649207197435e-18,1.1563305704402988e-16,1.939537105282994e-17,-4.839482792935718e-17,6.50506232257342e-17,2.4589538222957058e-17,-1.6559274302564976e-17,2.7148941659220172e-17,2.6492112020895525e-18,2.4491206537025167e-17,1.3713558330744017e-17,-7.198945750264795e-18,1.645491410345412e-18,-2.386125330855788e-19,-4.8732743835125164e-20,3.977973946128724e-20,1.0347921251116104e-20,-5.043511550357497e-21,-9.614820188670037e-22,-7.635842673102355e-21
17.59,[M-H+HCOOH]-,-2.007685668866684,0.3633357268895694,-0.2483781317060973,0.009154538726205632,0.08240685116320988,-0.2016912097874313,0.20439519117468768,0.20664416218306803,-0.31079718241016424,0.3109449214631404,-0.08455427030214288,-0.06583410984678356,0.005991384370421482,-0.03392673537624733,0.06711290651343357,0.08988130945276532,-0.07277318474105382,4.630251489631029e-17,1.6824990817678839e-16,-7.26935043644445e-17,4.896766538079449e-17,-6.634971135839236e-18,1.1658033691704971e-16,6.761078246411345e-17,-6.42212557085732e-17,-1.571413435455123e-16,9.649256773972653e-17,1.1981733754533953e-17,1.6486113729959295e-17,-1.792162807184928e-16,-2.7058930255702398e-18,-2.1018002090789138e-17,1.749871970564271e-17,9.054284720760135e-18,2.7159538855233367e-17,-7.474648014488239e-17,7.469262542325088e-17,8.173636447068616e-17,3.14876940814643e-17,7.813280829032429e-17,-3.4682614153039595e-17,-2.0339109932019028e-17,6.57063152763829e-17,-1.9465014705728856e-17,-6.220935615538044e-18,1.533278463133151e-17,-1.7259194631056992e-17,4.9932439484717946e-17,6.974144335219765e-18,-9.159127200170362e-18,5.05544693937629e-17,-1.5912337945385819e-18,1.658233595082671e-17,5.415289312783725e-19,-7.675777956424406e-18,-9.679466924145544e-18,-1.7215046025956314e-17,2.889175025358398e-19,1.0282904755713527e-20,-2.06071752928557e-20,-2.1643074535464856e-20,2.8709525743564164e-21,-1.6031642859755308e-21,-8.806083757115302e-22
8.68,[M-H+HCOOH]-,0.21360388793996923,-0.2614462609356902,0.34735832687466733,-0.07593110289709017,-0.1542534109105697,-0.08874563788663171,-0.0387291158034927,-0.02397676950737451,-0.08298132403707043,0.06323805193969405,-0.06244623005000839,-0.01363657252003317,-0.018770201013210613,-0.02183643180582997,-0.02269107971563183,0.02372521456320244,-0.0213373011882016,-1.1472421450988693e-16,-3.298726008685901e-17,-5.3812581520660825e-18,-2.871829101741288e-17,-2.957072468397111e-17,8.162967256633961e-18,-3.1824008541296677e-17,1.6011073961215943e-17,8.546676264773689e-17,-7.270062564326023e-17,6.148164492322843e-17,-5.252398287089655e-17,-1.2209482359225432e-16,-1.403386213854104e-16,-1.6231280735897513e-17,8.220119125669254e-17,3.2330438643907025e-18,-3.838101610902796e-17,-4.4495082267578404e-17,-1.9691455287039398e-16,2.096473800843912e-16,1.9366097409492923e-17,-5.696423072838422e-17,4.309729326745611e-17,-8.42440593430273e-18,1.400387602517829e-16,-9.653409786213926e-17,-3.4161898513203154e-17,-2.1085102991598344e-18,1.0586499394120298e-18,8.351755348624683e-18,-4.034272229706909e-17,-6.020584222049003e-17,-8.973519183603851e-17,9.339649892420492e-18,-4.946936610500921e-18,6.236406091151724e-17,3.132255708138656e-17,-1.3484655661176322e-17,-5.4551990096734844e-18,-3.3264556737796543e-19,-8.246501274721432e-20,6.904785567439226e-20,1.5206691893182068e-20,-1.1139998926210902e-21,3.487302710666898e-21,-1.2918626304142542e-20
19.13,[M-H+HCOOH]-,0.2136038879399692,-0.26144626093569023,0.34735832687466733,-0.07593110289709006,-0.1542534109105696,-0.08874563788663171,-0.03872911580349237,-0.02397676950737478,-0.08298132403707008,0.06323805193969394,-0.06244623005000829,-0.01363657252003308,-0.01877020101321066,-0.021836431805829927,-0.022691079715631782,0.023725214563202455,-0.02133730118820164,-7.297901233315889e-17,1.3160886039959277e-17,-6.530824313728957e-17,4.553242205869832e-17,2.5928268243056067e-17,-1.133226113447173e-17,3.5911585558635134e-17,2.3698869456318782e-17,7.54347770112733e-17,-1.448185953230976e-17,4.9078879002651107e-17,2.1091572576423598e-17,-1.0563604308263467e-17,-1.054750499988045e-16,3.530985176946894e-17,-1.1880866120808247e-16,8.511972192148965e-17,-5.345514703314043e-17,-9.523802962078876e-17,3.8364812731043873e-17,-8.601639587994705e-17,-2.335899391697934e-18,6.434834810977322e-17,1.6549538133486358e-16,-1.7069613612672448e-16,2.811821562175345e-17,2.1914069117952147e-17,-2.5755936046426666e-17,2.029033811628065e-17,5.673443918044876e-18,1.0066541035090773e-16,9.214481023855998e-17,7.870876983615953e-17,-1.0432271819040062e-16,-1.3141116399192137e-16,-3.675124786184347e-17,-9.272882001326083e-17,-6.449268909635603e-17,3.8908597876037175e-17,5.933157406627707e-17,4.0139023499711727e-19,2.212227130006388e-19,-1.976885051762926e-19,-3.18367502767904e-20,-1.563060166526998e-20,-7.382177972606124e-21,4.412650164376951e-20
