Observed Retention time,Adducts,pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15,pca_16,pca_17,pca_18,pca_19,pca_20,pca_21,pca_22,pca_23,pca_24,pca_25,pca_26,pca_27,pca_28,pca_29,pca_30,pca_31,pca_32,pca_33,pca_34,pca_35,pca_36,pca_37,pca_38,pca_39,pca_40,pca_41,pca_42,pca_43,pca_44,pca_45,pca_46,pca_47,pca_48,pca_49,pca_50,pca_51,pca_52,pca_53,pca_54,pca_55,pca_56,pca_57,pca_58,pca_59,pca_60,pca_61,pca_62,pca_63
33.79,[M-H]-,3.614194333554167,-1.5085783851950998,1.152027562413537,-2.3717073452568282,0.514455367139874,0.4878588194477117,0.0940493299054927,-0.1483534856485532,-0.27641962782821844,0.2382406076475129,-0.5913402835484853,-0.21150998354979003,0.06269808737093145,0.12767419262342053,0.15216985286680715,-0.006248993790875226,-0.1322663192063686,0.11507245445082398,0.037023658523119056,0.02136003159200867,0.10239148326168727,-0.35297793785687237,-0.0824345991817335,0.02101183436980237,-0.0005196338259616314,0.0328110233167165,-1.0519633686566757e-16,1.525527784202715e-16,2.395757779647949e-16,2.063056798863817e-16,1.10115807085899e-16,1.469994441252863e-16,2.193059912948913e-16,3.0870522838004855e-16,-2.4017154827241637e-18,3.9442351271209026e-17,-7.671254148627892e-17,6.470108818440639e-16,-1.291716780947475e-16,9.353370114013526e-17,-4.5118594050709267e-17,-6.95923746459367e-17,7.097541774874613e-17,8.064052802633667e-17,1.0228032055594743e-16,-2.394253739258224e-17,-5.86763472931847e-17,5.61533662169044e-17,-2.7245768661222567e-16,-1.4613265072591475e-16,-1.4768772540315457e-16,3.9413444865622884e-16,2.8476218282401933e-17,2.2992865248612706e-16,-3.5111883730261634e-16,2.088896743138891e-16,-6.910217864092905e-27,1.7301051380755875e-29,1.1887824153043131e-29,4.094372626231145e-30,1.7189837243875668e-29,-2.2146119430928425e-30,-1.253697623461565e-29,-6.895276486572912e-30
25.28,[M-H]-,-1.3216030927307132,-1.7424730894564004,2.6037559068183067,1.5620659156898777,-0.19479723860679882,-0.015341173864703048,-0.22061161029812035,-0.45198334120616895,0.21327829561087353,0.30085064308876946,0.15738212055882764,0.19823087173224815,0.33477852221211674,-0.011360797458936202,-0.3712870923021123,0.24380803381260227,-0.4149478173832264,0.02514041605755807,-0.34556235385230205,1.0156967758778055,-0.13779624892430922,-0.1264156431474489,0.4678889244516621,-0.09075355056861718,0.06108808375249112,0.014678245295519912,-9.507360200089738e-17,1.1119969529801604e-16,-5.099962571719741e-18,-3.086250862237196e-18,-2.4791039366328085e-18,-1.0905340489314627e-17,3.236344837076872e-20,-3.0664960228526578e-18,5.181122595569159e-20,3.062905676376541e-19,9.721568671947585e-19,-1.2412199330982992e-18,-2.0346023424115995e-19,7.961487564836225e-19,1.5529228740966308e-18,-1.5573054290187807e-18,7.724143683975272e-20,4.5709645106536576e-20,3.2963327053075533e-20,1.3737797432301592e-20,-1.7274745598897774e-20,1.5680250074275505e-20,-7.47219585157476e-21,-7.636652462096458e-21,1.3297109115106052e-20,3.459623651495735e-21,-9.592402886118169e-21,6.990247734286579e-21,7.265724801662267e-22,1.5386049186390083e-21,-7.449442758858444e-32,-1.1116976640090518e-32,-1.737981749708624e-32,-3.228434380098731e-32,-1.9480922452736204e-32,-3.4241539935069956e-32,9.818202465200847e-33,8.073396463741916e-33
45.04,[M-H+HCOOH]-,-0.9868944657263762,0.5190604153798944,-0.14242555724596764,-0.5484821155068537,-1.265274644804407,-0.0791354123318211,-0.556578056971144,0.9368357876968705,0.2775982666358235,1.0898351033382427,-0.10012305781323809,0.5486438164281836,0.09727233287798732,0.5889628824018142,0.16192201089736158,0.41845631177603576,0.1866599046446073,0.014875384992219087,0.06138959865566298,-0.12212004171321951,0.14506347213459378,0.06274582879727568,0.16926981575647676,-0.05998369467281422,0.018224784595968314,0.10665876347609075,-2.1256747021871157e-16,5.6094626044569365e-18,-1.0715781166360182e-16,7.118852176128835e-17,-4.894525318856881e-17,7.62777475748449e-18,7.638716511205969e-17,6.451843287533704e-18,-3.6146820411478946e-16,1.1845714832884237e-16,2.7975450635159e-16,2.2909999280312137e-17,4.018385598857534e-16,1.1562650844760351e-16,-5.675475626293091e-16,-6.480482617583769e-16,3.5491615639879245e-17,-8.81174288936488e-18,-6.2654038101194015e-18,2.3009141838299053e-18,-9.346787234543433e-18,9.34093340045359e-20,5.921802470959084e-18,6.011978343538874e-19,-1.0308306159319168e-18,1.2007138612083086e-18,-1.3521935438607685e-18,-1.3522006730638735e-19,-1.9625001556479154e-19,1.6567441646948119e-19,-4.746744167603129e-30,-3.308846841457564e-31,-3.685388918030535e-31,-1.4282497408278616e-31,-9.628793873228013e-32,-3.039394460585393e-31,-1.192281308240563e-31,-1.8511656838239877e-33
53.47,[M-H]-,1.9742850265854226,-0.1026258199391047,0.16577940468562544,0.7272958512442509,-0.45130330096856225,-1.2016965903828016,-0.2825005496809378,0.47952920305348923,-2.0953210571871614,-0.619593071434179,0.465307605271179,-0.24318986209224477,-0.04515827786193661,0.20337016959685547,0.1816677402656361,0.14753690228588487,-0.0727555322874024,-0.08788347108893246,0.021789659337889285,0.05791380028880424,0.04016492019347006,0.061880965203376104,-0.0106020467099784,-0.00820630239829908,-0.008266412299402897,-0.01353281809678655,3.0751381576735044e-16,4.555139342879411e-16,-7.924828555996392e-16,5.326129664682996e-16,2.377138049050894e-16,1.495692003202033e-16,-7.805381886168361e-17,1.4929827993214044e-17,1.846630694032169e-17,5.905771329029982e-17,3.9072568928166934e-17,4.72494643724458e-17,5.192464976251738e-17,5.211264450811559e-17,4.002167358685029e-17,3.4971768968960103e-17,-3.4377296680864173e-18,2.9606674706760325e-19,9.603646770655357e-19,-2.4983587128425415e-20,5.073672675334511e-19,8.150274951104507e-20,6.443591607443266e-20,-1.064676958208737e-18,4.539257191763024e-19,-3.0651145533090853e-19,3.267200852290081e-20,7.1976210383479895e-19,3.7597110934929806e-19,1.2857810389556278e-20,-2.196991989946889e-31,8.582579358746148e-32,-9.470624651542941e-32,4.940096509473033e-32,-2.275170075972946e-31,1.6908034360515877e-32,-9.210248139538512e-33,2.0706436626209967e-31
23.78,[M-H+HCOOH]-,-1.0213270194919115,-0.3613875438393365,2.088135288954149,0.3172963965846129,-1.0858398254884045,0.20935392462039296,-0.42505459146524255,0.3273955573776476,0.7877970981256104,-1.176145663508991,-0.29824862504897004,-0.13174960959631782,-0.33486762018211574,-0.07670558058902677,0.9679911735293243,-0.3398231062214407,0.7508653926772877,-0.3799216723896827,0.6224501976197478,0.2396722564580593,-0.23462621845468984,-0.13206685930690445,0.22937174259316692,0.29530711329052767,0.03925303195216544,0.004285878185221493,-9.507360200089837e-17,1.1119969529801626e-16,-5.099962571719722e-18,-3.0862508622374063e-18,-2.4791039366330793e-18,-1.0905340489315034e-17,3.236344837057047e-20,-3.0664960228529987e-18,5.1811225955510203e-20,3.062905676374631e-19,9.721568671945077e-19,-1.2412199330985506e-18,-2.0346023424148635e-19,7.961487564834243e-19,1.552922874096588e-18,-1.5573054290190673e-18,7.72414368394533e-20,4.5709645106468885e-20,3.2963327052994536e-20,1.3737797432483977e-20,-1.7274745598963355e-20,1.5680250074603103e-20,-7.47219585156267e-21,-7.636652462123052e-21,1.329710911519188e-20,3.459623651848719e-21,-9.592402886017531e-21,6.990247734059314e-21,7.265724803644779e-22,1.538604918432295e-21,-8.212072604274816e-32,4.9128654658558586e-32,-6.882264659600896e-32,9.328614241999015e-32,-5.346268450338264e-32,6.117615471239739e-32,-6.0638611253738587e-33,-1.3741886102619188e-32
33.11,[M-H]-,3.803748282811262,-1.5196484890795745,1.1423856998032051,-2.384429811695142,0.5844923123556143,0.16992996724836779,0.2919775765838006,-0.17018850939640098,0.05335134833843444,0.09378107828493223,-0.5388356180021594,0.5773047221719402,0.17025221010751762,0.04065230249318262,0.15362096430853808,-0.26871952558276035,-0.2847218255766625,0.40103145926041084,0.253961112699061,-0.014023827352711323,-0.48295820350798335,0.8356593358203138,0.1692612263691228,-0.011864113134758821,0.0050615342822251655,-0.0133898580317157,-9.507360200089775e-17,1.1119969529801564e-16,-5.099962571719645e-18,-3.0862508622373967e-18,-2.479103936632765e-18,-1.090534048931464e-17,3.2363448370715526e-20,-3.0664960228528924e-18,5.1811225955836594e-20,3.062905676376444e-19,9.72156867194648e-19,-1.2412199330980768e-18,-2.0346023424120107e-19,7.96148756483747e-19,1.5529228740965494e-18,-1.5573054290191979e-18,7.724143683963305e-20,4.570964510625371e-20,3.296332705293168e-20,1.373779743249289e-20,-1.7274745599078495e-20,1.5680250074951856e-20,-7.472195851603772e-21,-7.636652462055356e-21,1.3297109115064952e-20,3.459623651519912e-21,-9.592402885745843e-21,6.990247734160859e-21,7.265724802290868e-22,1.5386049185713128e-21,-5.948133743057756e-32,1.2276806427632612e-31,-8.235383502102121e-32,2.1579405815773394e-32,-3.8648686110757957e-32,-6.283038588518025e-32,2.2467773215029728e-32,-1.1294744982226382e-31
39.24,[M-H]-,3.51229517759642,-1.319925210203877,1.1884912686564593,-2.787676353552464,-0.8217085047695369,0.6417499703305494,-0.40526451816686426,0.30922405273321085,0.18354038660115846,-0.2056792129363928,-0.7464443141675683,-0.17960012318484678,0.19533749370957787,0.024855098013431415,0.0420480356892001,0.06818507844153926,-0.16218298657738142,0.15028370383497006,-0.004018850089541587,0.02131862127809531,0.23748145265714715,-0.26833071359288024,-0.07613618993468249,-0.022277733041081355,-0.022930349080877342,0.005000963793440479,-3.25573415875625e-17,7.76380417353892e-17,-3.296364630455352e-16,-1.834410218662051e-16,-4.794776653990964e-16,-3.4520673147312797e-16,-3.633079752872565e-16,-7.341439727092017e-16,1.2312611468713022e-16,-7.671469693054706e-18,-1.346744409458927e-17,-1.2473466900823488e-16,-8.036878241689023e-17,6.1838828039940394e-18,6.911863501187993e-17,-8.930322974832209e-17,2.284739051439262e-18,4.354491158088071e-19,2.1495478027322837e-18,-1.6535209860821627e-18,2.7681462613655205e-19,1.196088111681411e-18,1.3427614053225113e-18,-4.07696970280329e-18,3.1213329250136944e-18,-6.118559387090775e-19,4.0475037079101173e-20,4.888050830416145e-19,-9.96544552421845e-20,-1.5769461357787398e-19,3.239513912780043e-30,-1.4155967924963122e-31,5.875776436653902e-32,-1.3440060046896504e-32,-3.01039930270136e-32,-2.6189830328446854e-32,1.549234255518403e-31,-4.8760620326950026e-33
17.59,[M-H+HCOOH]-,-1.3737019735997034,-1.8350180778541754,-2.056967351153099,0.044886676700672444,0.0897616792558713,-0.1340482006156584,-0.4907212350705911,-0.7746277495569498,-0.1616910833764427,-0.0664296225022961,-0.47135554489411585,0.2378102984411656,-0.0492620012228668,0.015173433050470815,-0.03255652165991383,-0.08563813294592608,0.0478214722870858,-0.01389209107607829,-0.007731133949077225,-0.028328077593973214,-0.03168216487845592,-0.03455269374035603,0.030525263457438303,0.008391034832406712,-0.02712184133720977,0.000855338748261552,-5.639221891183595e-17,1.6745768619226784e-16,2.951540775101145e-17,3.05669152462713e-17,-1.3011730832645944e-16,2.9392300761416686e-16,1.4220701006925113e-16,-1.6325436473608764e-16,6.094418500750167e-17,-1.3107730018267602e-16,2.0309277680431841e-16,3.253616675486788e-17,-1.0444971675438218e-16,1.4411469130828312e-16,-2.932079803484259e-17,1.6451345385389037e-17,3.136095435816777e-16,1.348928080454205e-17,4.2078376745295033e-16,-4.5911233894731526e-18,1.678893121580166e-16,3.17773768347865e-16,-1.3333946481693747e-16,-4.949229116534585e-16,3.901373872215987e-17,-3.503930644440832e-16,3.2702904298815466e-16,-6.643023851966222e-16,1.0976501786222641e-17,1.8452842321311288e-16,-3.8839275845372375e-27,-2.406690929648859e-29,-4.77556598272395e-29,-1.8045869450403758e-29,-1.4179519946258242e-29,1.3203473748490634e-29,-1.2374445507703408e-29,-1.0663740050955088e-29
8.68,[M-H+HCOOH]-,-0.5987510835511608,0.8027051912786601,-0.020965382126378773,-0.22093250239626855,0.5752861880209507,0.039737504614054654,0.03277226466514613,-0.21085632178847333,0.06287373972645094,-0.036678202594416544,-0.07144806887168222,-0.12747190015200816,-0.022272141197993155,0.02869730637986687,0.014373291690320884,-0.12423987382768707,-0.05366330741513811,-0.016927006614490044,-0.06286802577261086,0.0028240143090906685,0.0035952045915744095,-0.0018354985928546942,0.006645068452400454,0.028479481269567283,0.004332458829328779,-0.013691533062033663,-1.8292885004155456e-16,2.503854770577353e-17,-2.2142369983805446e-16,-2.267585395231946e-16,1.36837056168329e-16,5.0705794583117786e-18,3.502277373176465e-17,-5.0936807284386384e-17,-9.697483626195502e-17,9.603854591890061e-17,-1.1996004973073646e-17,6.31284464939205e-17,6.526617734402371e-17,-3.118873921505733e-17,1.9748538630341e-18,2.3150048200286215e-17,-3.828773685013876e-16,-3.128809858184733e-16,2.626136742261419e-16,4.236314636079191e-17,-9.74862215470154e-17,-5.830937884987261e-17,-5.081764843532304e-16,3.241043700698374e-16,-9.303425223067448e-16,-4.9575985296840604e-17,1.8477390549075863e-16,-2.4420249677845964e-16,1.6537980890008436e-16,-1.4588456210053758e-16,4.76899313954878e-27,-9.063660836338572e-30,-2.7178544969073445e-29,-2.945266328818827e-29,-3.5881371114255327e-29,2.1939742358389e-29,-1.3275510882348938e-29,-1.9623425264729394e-29
19.13,[M-H+HCOOH]-,-0.7378126982249029,0.35999663656837827,0.700645847218558,0.444283019373737,0.4407771715929778,0.43689339234935826,0.07208032555314099,-0.20971187095726881,0.3712406233326003,-0.1649477551436284,-0.18373525217055786,0.06368022814444546,-0.6475254086140602,-0.41463416135690295,0.8045233656296703,0.1377227451536691,-0.5689347646933077,-0.6403606948831257,0.3325915568752095,-0.15430962772834017,-0.12478205839461315,-0.08408715966870417,0.044775581278750816,-0.5404311838883812,-0.13413245979472818,-0.0017536829567378095,-9.507360200089738e-17,1.111996952980155e-16,-5.099962571719673e-18,-3.0862508622371305e-18,-2.479103936632903e-18,-1.0905340489315026e-17,3.2363448370439914e-20,-3.066496022852873e-18,5.1811225955473935e-20,3.0629056763760937e-19,9.721568671948026e-19,-1.2412199330984539e-18,-2.034602342413824e-19,7.961487564837374e-19,1.5529228740966559e-18,-1.5573054290191591e-18,7.724143683941304e-20,4.570964510617876e-20,3.296332705325565e-20,1.3737797432440608e-20,-1.7274745599167952e-20,1.568025007410808e-20,-7.472195851903565e-21,-7.636652461968319e-21,1.3297109115625858e-20,3.459623651519912e-21,-9.592402885851014e-21,6.990247734373616e-21,7.265724807969438e-22,1.5386049187357163e-21,-2.7403062031042905e-32,3.1101424308885987e-32,5.024670297718007e-32,-1.9772484542007838e-32,-7.680818137495117e-33,1.0343472266636508e-31,7.318366594326589e-33,3.4001833163743445e-32
