Observed m_z,Adducts,pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15,pca_16,pca_17,pca_18,pca_19,pca_20,pca_21,pca_22,pca_23,pca_24,pca_25,pca_26,pca_27,pca_28,pca_29,pca_30,pca_31,pca_32,pca_33,pca_34,pca_35,pca_36,pca_37,pca_38,pca_39,pca_40,pca_41,pca_42,pca_43,pca_44,pca_45,pca_46,pca_47,pca_48,pca_49,pca_50,pca_51,pca_52,pca_53,pca_54,pca_55,pca_56,pca_57,pca_58,pca_59,pca_60,pca_61,pca_62,pca_63
925.4807,[M-H]-,-2.614202505119045,30.91759405956294,-3.2975506079440624,-2.430730598542995,0.8583864000853623,0.5719997957007369,-2.966035224846618,1.2871740797209548,0.2776106629276563,1.530334793513424,0.1312239975614931,-0.1993983942116874,0.18806721721429293,-0.1859446072063428,0.24433046164777414,0.15392893874404126,0.035456852118830734,0.058809333575779464,0.0009471026581894159,0.12445606641229583,0.05052018860023381,-0.04445997904171303,-0.01373289199695106,0.032872662789613094,-0.006212392466144614,0.016456411767444345,0.023898312022548458,0.008913114308140513,0.0012297896621274837,-0.008902690053395397,0.0009796683185000587,-8.702607815756628e-15,1.0531089193761842e-14,5.889006256404793e-15,-1.1493829226815657e-14,7.454422742267055e-15,5.3876260114993424e-15,2.265279181546869e-15,-1.52841390028131e-15,-4.425341852899401e-15,4.489146363101216e-15,5.959394637687881e-15,-5.695649405888556e-15,3.262572727800069e-15,-2.5051408038781824e-15,-4.862613969803296e-15,2.4047899154441376e-15,-1.3030255697888192e-15,-1.617341974863872e-15,9.145768384493122e-16,1.7578945943664252e-15,-7.39238913786765e-16,-7.440393251795966e-16,5.198400524226154e-16,-8.96747364708136e-16,5.336025778488203e-16,-9.936506485235638e-16,-8.969015991653484e-16,-1.2437715453242447e-15,1.1926326603375889e-14,-7.381753886110749e-15,-6.896184106548144e-15,5.5595660891006446e-15,-4.350727985784445e-15
1107.5929,[M-H]-,66.25511107640415,-7.262502652472553,6.531151529330935,-1.0774612949329017,3.64788588791077,0.051969776735642965,1.3509919419099308,-0.6227818173724547,0.23007201295304222,1.5855611182014024,-0.348124359378148,-0.38267436340332833,0.8426114029845714,-0.06952898479537177,-0.3942570473939602,-0.49785533808414406,0.2347891049565784,0.23904899480795744,-0.06506455491069073,-0.0026038725432016457,-0.0470461441164977,0.07509198789961771,-0.10857569619608133,-0.014632953221127846,-0.11397854958919777,-0.040481920479196874,-0.01943036303995023,0.010084792873367134,-0.004648821442805729,-0.005337096665287719,-0.0023816031665159433,-1.5857387857450558e-14,-6.908690942044032e-15,-3.6574121481404545e-15,-1.2206251709067153e-14,1.5226033196790005e-17,-4.857216242313718e-15,-8.5646707282397455e-16,-1.0630017489276032e-15,-7.3613003580706e-15,-9.460805498895325e-15,-1.442414419720108e-15,7.705253646814585e-15,-7.553141868700361e-16,-2.8078206500366937e-15,5.0813804495249106e-15,2.96601188089969e-15,-7.013259853325342e-15,-1.3634715739939558e-14,-4.238239425743026e-15,1.5536263181891494e-16,7.670250340073132e-17,-7.187316246229738e-15,4.657311222662937e-15,-3.1432736431744544e-15,-1.522954997677112e-15,8.788818239526162e-15,-7.687013331464929e-15,-1.061197996009794e-15,-2.6844504184099522e-15,7.338877250962125e-15,-6.2685244857755405e-15,-4.701383763349367e-15,1.1091936826509507e-14
797.4684,[M-H+HCOOH]-,-74.01342331386888,-4.78739012137866,5.0144719755916745,-2.9348107074596785,-3.939014948668883,4.380555921457375,-0.8316481899312494,-1.349997738174133,0.5406680074742756,0.45760872469902886,0.5944176828845337,-0.3568212344312371,-0.12445568013766124,0.10459505190906788,0.07404289581415982,0.07000056611844735,-0.054471485400879587,-0.08603078962328581,0.08385894438734884,0.13366253860417288,-0.06601488468534251,0.09360618184718296,-0.015830749452977647,-0.01790167120469704,0.052928938726474306,0.006271162048754495,-0.022418942769980757,0.0063005235262621456,-0.0019537750999894985,0.0014424821433227553,0.00013685390311716375,-3.6475977571727046e-14,-1.2766349675331723e-14,-2.3504036424898365e-15,3.580993607602052e-16,-4.6536004344157125e-15,-5.811932684712855e-15,-4.256852149477996e-15,-3.697902832481652e-15,1.0484260708172519e-15,-8.073620292218874e-16,-2.814603963184506e-15,-1.2651021681531703e-15,-9.957008282942422e-16,-2.1846657448713735e-15,-1.6592513304171803e-15,6.180970488650884e-15,9.171606209505797e-15,7.815725163045631e-15,7.514077429661089e-17,-4.690589248651459e-15,-9.3905508664916e-15,4.200012602408872e-15,-8.0690628951511e-15,-1.0208959720786727e-14,-9.397392699295597e-15,5.3605369198859756e-15,6.472668043140576e-15,1.421091001693884e-15,-4.693888777613e-15,-3.3448573087135278e-15,-1.2272530155069973e-14,-3.269510577167827e-15,1.2986413327139354e-14
807.4908,[M-H]-,-51.343540940904,16.50919729351039,4.901315094272947,3.3030081047000306,-1.1491285629975654,-3.0671969719287784,-0.07530920207734093,-1.677289203996268,0.1522315406351197,0.1575566489026647,-0.5663540873242165,0.32213953397715667,-0.7709699461426465,-0.5704646215755879,0.27169374711227035,-0.45903803358224626,-0.3097810220672204,0.1992753951994477,-0.021984802368349998,0.020551891190156567,0.017134977631915415,0.006861938327620556,-0.024111469661075517,-0.0034870475808125565,0.01827537831926334,0.028953920322772136,-0.019030919641379585,0.00093909601808742,-0.003687095474964584,0.0018283750682697101,-0.0035718662842606688,-4.597222496597117e-14,1.0398045118580393e-14,-3.3075203791111704e-15,5.8705684605033e-15,-3.241862995704777e-15,3.59721885388707e-16,9.25711835182762e-16,1.3354689824718366e-14,-2.373699238581887e-15,-6.778714044832599e-15,-1.9490344528354608e-15,5.4397464155539515e-15,-8.181161591603999e-16,-9.036945817036681e-15,1.780920346540795e-15,-6.306672485213916e-15,-7.795766022184011e-16,-1.7368502724236475e-15,3.3865045814560486e-16,-1.6957275531566388e-15,1.49075516608782e-14,-9.693583043876615e-16,2.2155944307185594e-15,7.533659062612672e-15,-3.901324477541587e-15,-6.351593184619184e-15,-2.69171451327557e-15,-5.2949452935554835e-15,2.67259881137848e-15,-1.9909281315364696e-15,-1.816102335634315e-15,4.994402761964252e-15,-1.791354648782822e-15
681.4214,[M-H+HCOOH]-,-107.68736307126089,-7.191572773152044,-3.7575389021449785,-0.3012660235598467,-0.6878839996558282,-2.548418299889373,0.13308833422325722,-1.6745871734145654,1.1199692636875762,0.7552435028841094,-0.3411898924614649,0.5141179937076212,-0.5611101392305264,0.09925851941846005,0.19888821797456005,0.11208959408070537,0.06675922537309714,-0.25718988992298386,0.12494031992097797,-0.006963123032628615,0.11781828917784018,-0.09265170073521989,-0.13341005003111925,-0.0219492162082041,-0.06349949719957326,-0.0710695181305294,0.06164822512991897,0.025852020307532315,-0.005734482335253675,0.025199755852003267,0.004955585196322499,-1.8705894427934626e-14,-9.919542424415427e-16,-6.40448752456511e-16,-1.5110552798593218e-15,2.433406955508741e-15,-4.204200473638674e-15,3.4998493089726416e-15,-2.8707410941993073e-15,-1.8845616088852308e-15,4.016889139867372e-15,1.3962521097714294e-18,3.407533812844281e-15,-2.956086797462685e-15,-2.5647894402222167e-15,-1.912620050395308e-15,1.2262627122373097e-16,-2.6114636437416325e-15,-1.7081428498188955e-15,5.129774613307314e-16,-4.553580064393955e-15,5.33231885667918e-15,7.120296463913548e-15,1.6247609762043319e-15,-1.4779462466475058e-15,-2.044571276451658e-15,1.2337054406430407e-15,-3.66182106560483e-15,3.3064169335150435e-15,-8.421996277823906e-15,5.970720142210484e-16,-1.9774055242103675e-15,9.542808935681938e-15,3.408515697871188e-15
925.4798,[M-H]-,-3.1554772837610203,31.178210763710574,-3.4860676682510303,-2.643470568509653,0.4277754435204622,0.20717951577152385,-2.526234595836539,1.2635905427571308,0.12484830599276078,1.3553260794682092,0.2536337353406728,-0.040221758169580527,0.1637018131625646,-0.21744109973031958,0.07811476425166183,0.08472270349623351,0.017761949506068936,-0.11752677494936942,0.028924675157381823,-0.0862019118111256,0.06941041920442616,0.012512406788474347,0.005951801101586363,0.023912917136837457,0.013289442148447928,0.004921340792692288,-0.011155023020469982,-0.006341817410242247,0.004896501039185871,0.0028187209378068936,-0.003090260947916714,1.638058443048941e-14,4.146729499570792e-15,-1.355631008481133e-15,-5.316870163848629e-15,1.3714362302407778e-14,-2.060725486541199e-15,9.993835560238449e-16,-6.0284129363773424e-15,-7.941395317891702e-16,4.701200469704531e-15,5.1125640491267826e-17,-3.956357825284218e-15,3.2647369173040884e-15,-2.8469149476858188e-15,5.4625162406736156e-15,-4.632154991897902e-15,5.9589129681964264e-15,-1.3980352389023712e-14,1.0218936591809253e-14,-7.211232670418035e-15,2.3947649803399637e-15,1.5481729327008513e-14,4.193312759184445e-15,-1.2368576322147881e-14,-1.0129938654085509e-14,5.4910065429898056e-15,-5.840913620634484e-15,2.5088024891740082e-15,6.681654767611997e-15,-7.312320275530618e-15,-8.226504631177063e-17,-2.0082545053640565e-16,3.576032360363514e-15
793.4374,[M-H]-,-53.898956130974064,30.73592625446114,-4.8911246150964445,-2.8333685962684694,-0.539380868040701,-0.7402258570574562,-2.418296696608054,1.7936543817072077,0.1856520569422857,1.2754272748788353,-0.08980773387931618,-0.17961685195644658,0.3448144346118887,-0.40196073773741275,0.14948454869533867,0.24754353352880173,0.30634333404535546,-0.05437147928663242,-0.33017878645251403,0.08593692863474271,0.06275524773875786,-0.020452211853238877,0.032899960724352646,-0.007378941677398345,0.009726109400462755,-0.04066983357512015,-0.03161687586334313,-0.0010997311858682297,-0.00290816368898071,0.006778381125155526,-0.00482191613473511,-2.2146315883609142e-14,-2.997498917274748e-15,-1.782540652583496e-15,5.74272958396965e-15,-7.964709804686623e-15,-9.448509214123294e-15,-1.3212575858694736e-15,4.355779704697963e-15,4.1769057526789955e-15,-1.0860163130863245e-15,3.5324328302722737e-15,-1.3590913808982605e-16,-1.4377168036457167e-15,-5.6165954128853146e-15,-4.19263475694203e-15,4.468499671753959e-15,-2.61334149533756e-16,1.4288420903883482e-14,-1.1300460080229826e-14,1.375176611610884e-15,-5.7212447300348e-15,-9.190975289451347e-15,-2.0860519022982672e-16,-3.1134141970951525e-15,4.9456663017397385e-15,-1.3819561922685839e-15,2.9574135287689915e-15,-8.537914456880406e-16,-1.2104903853497323e-14,7.25674207436938e-15,1.591783651856252e-15,5.1039086645963115e-15,-1.0394142399267417e-15
845.4891,[M-H+HCOOH]-,-47.60100875166053,-5.599580787683162,0.41943159060358315,2.1302228366813116,6.483966727070848,4.530486373267885,0.3363058990024624,0.8131577181505548,0.02094832819230447,-0.029872717584795854,-1.2356186474931004,-0.05836591523268634,0.032092681510875215,-0.2245785228755191,0.04931111749361279,-0.18624510739067895,0.17245885308422115,0.09006813190779975,0.25047550173931077,-0.023223505183057293,-0.08010461748353125,0.008461221913752485,0.044430690469775824,0.006702826422907551,0.00135432723640418,-0.029502573407447844,-0.0021967002510323683,0.004125904176324699,0.0018329758684975698,0.003564233083534476,0.002077707628177736,-8.554391136343823e-15,6.104822973925798e-15,-3.5734084418789295e-15,-2.217516758831116e-15,9.887588079053299e-15,-1.0235850997642327e-14,-5.820857757447328e-15,8.934376566886601e-16,1.918090789905257e-14,1.7007838986623913e-14,9.15516297432825e-15,-8.112715423941987e-15,2.425153078411735e-15,-8.486181511245026e-15,4.0861227866813455e-15,8.738644993313775e-15,-8.981774172378483e-15,-2.664221148914744e-15,6.2051984670432154e-15,8.349485138823522e-16,5.311853108890043e-15,-1.2058390088345532e-14,-3.037603532201352e-15,-1.56416796338088e-16,9.218819425892551e-15,9.573484340237418e-15,5.549883792954301e-15,9.013379635632039e-15,-8.679906923038015e-15,-9.123074391102879e-16,4.937312343668279e-15,1.4287464794005764e-15,2.658868236892015e-15
977.5317,[M-H+HCOOH]-,10.63318227210969,-10.075642227902925,-3.3908011511610647,1.0362607553285637,1.509524624248538,0.44791178055237135,-0.6391600477472961,-1.168698696894506,0.6565840251113364,0.24655404464624278,0.7354426962796317,0.0014058413401611925,-0.0184623487587807,0.1074969664047695,0.1592623339447857,0.13590243459141385,-0.008312700095890285,0.10465727144341304,0.22276655552370375,0.11899248319828916,-0.006506319044246203,-0.023376850735447225,0.0275950366901351,-0.03488836509001429,-0.004881903839106341,0.020659230366118095,0.00516255843699814,-0.012597299896168708,0.009594410895431395,-0.01009992396866764,-0.0004498238409983678,-2.407702082706699e-14,-1.075294986465538e-14,-2.494235220743673e-15,5.18606835319241e-15,1.527527996111486e-15,-2.863900831522251e-16,4.666513063718479e-15,5.602142809266876e-16,4.565165537392268e-15,-1.7354248051550713e-15,2.504039715947607e-15,4.980985580700288e-15,1.2172763019241623e-15,1.0446605221051542e-15,-4.328220983858349e-15,6.571968115084264e-15,4.734178624636969e-15,-4.0359366034106225e-15,3.862484877590224e-15,9.033657582856009e-15,4.477134050574417e-17,-6.0493791400588426e-15,-1.6063797513771113e-15,-1.009759032112465e-14,5.304424911103856e-15,4.058955827363635e-15,6.71133875232405e-15,-9.241767434074504e-15,-7.155878774326863e-15,1.555786449942052e-15,-1.9670816326747605e-14,7.664623966317952e-15,-1.220336763609987e-15
1007.5422,[M-H+HCOOH]-,21.715043244157112,-11.18450454867506,-4.129854315997876,-0.578767414526834,-1.659135935951094,-1.4201948501587853,0.933055993521917,1.3653881650878124,0.061322098778838326,0.291787505921139,1.3151088280027774,-0.06010473546898311,-0.8249020039223542,0.12931119443349134,0.3610808879143017,-0.2546420272913832,-0.19423253638722524,0.14295548145348996,-0.16507010112646048,-0.025142737981363374,-0.006836262284646584,-0.08120908442683711,0.16989106505880658,0.0033830915573203313,0.01458495398246821,-0.09476092652484604,-0.013335932786039185,-0.008269802983655991,-0.004671687889766372,-0.006695281752073128,0.004269441398853314,-1.735899431325713e-14,6.682400926892322e-16,-6.537030513837271e-16,-3.998664893236445e-15,-1.8293554961306237e-15,-3.06894841609056e-15,-7.14987407992745e-15,-1.4127357955621635e-15,2.942064336744001e-15,-5.449153309334809e-15,9.187530607162926e-15,-3.3889182865482773e-15,3.0658333005533096e-15,-5.3870416795034954e-15,-5.213904412636458e-15,5.224832829284455e-15,-2.036235359604525e-15,-7.663786921742703e-15,-1.1473074856405493e-14,7.324182781845605e-15,5.634830328205625e-15,-1.9828069891999153e-15,6.060616969902154e-15,2.8294818961193728e-15,2.439582137469487e-15,2.9922186975323127e-15,-1.0132757643053146e-14,-2.9579716221648897e-16,1.282149789432867e-14,5.852920240096623e-15,-4.105145638573429e-15,-3.855438221606192e-15,7.82784778672836e-16
