Observed m_z,Adducts,pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15,pca_16,pca_17,pca_18,pca_19,pca_20,pca_21,pca_22,pca_23,pca_24,pca_25,pca_26,pca_27,pca_28,pca_29,pca_30,pca_31
925.4807,[M-H]-,4.523251774284344,-3.3656425005060355,-0.5049955537018811,-0.5556393519835864,0.4631044098577823,0.6161572983862468,1.035638931094894,0.06217867197661619,0.03863895174419056,-0.3212052557956876,-0.37540748809027513,0.06067830167682319,0.2567287118615723,0.12266738100014883,0.32470865567466173,-0.41100471770975194,0.36134442551756263,0.20144770844565008,0.19569529821695153,0.002960649561113315,-0.1265953816385478,0.044251952501852106,-0.09662148458279514,0.6273727789369247,0.012455372272017798,-0.04868325691796498,-1.623260835224615e-16,7.533702549163629e-17,-3.282902743129539e-17,6.174750927167357e-18,2.1410088357570563e-18,1.1129456916925804e-17
1107.5929,[M-H]-,-1.0775975621549545,0.13280615385169417,0.21441947903637595,-0.27458242639006925,1.2414967693416936,0.7967935571753912,-0.04381722733897852,1.10290175091252,-0.15670366972570793,-0.6134578910376844,0.4238713858549112,0.1269985223023603,0.23822912136580346,-0.006913398013698479,-0.08626868272373998,-0.4081817919921836,-0.27873051413460537,-0.42474302829520955,0.11504499703596097,0.27382979751524983,0.3363624676052442,0.157793903673432,0.6465618523582766,0.09340531304810362,-0.057983047021946,0.012700183328816044,-1.6232608352246116e-16,7.53370254916361e-17,-3.282902743129527e-17,6.1747509271676424e-18,2.141008835756936e-18,1.1129456916925574e-17
797.4684,[M-H+HCOOH]-,-0.908936669808318,0.24534406991631622,-0.7420950917532799,-0.028191700059101148,0.19698836659264793,-0.17687274090767316,0.6883237573231779,-0.32253055823074717,-0.55681349857766,-0.18506926581451844,-0.03207994918572302,0.07306203652015729,-0.1886756362934113,-0.6774495637472248,0.12880519596611625,-0.19475072491171466,-0.023062927168853154,0.05943256451303863,0.20152931114759615,0.14253647377979176,-0.11249366191915271,-0.222764399787273,0.027769303753130206,-0.04349119241764249,0.10186027589683203,-0.003627245924715067,-7.483462952966014e-17,2.1582533561278757e-16,-1.4842464739465782e-17,-2.458159508220261e-17,-4.931257730692926e-17,2.1195540140184077e-17
807.4908,[M-H]-,2.7787435123840223,1.4795044900558108,0.5995763856431351,-0.8327934076414139,-0.5234389183412054,-0.6401457911809515,0.7377520272051534,0.5309153003878158,-0.44319770588919233,-0.31458273041250506,0.5067097152725775,-0.12386963923444513,-0.3418986246094488,-0.8256641139406127,-0.0881614528599071,-0.006304569599832252,0.0357622560027907,0.25679324782763757,0.0021358193179097573,-0.07839124108108746,-0.024404137035299055,0.3276131751239148,-0.026509107425669854,-0.0269523944863164,-0.08328950966281988,-0.005201636112681688,-2.385456946662334e-16,-2.2642512581833907e-17,-5.9076371718720926e-18,8.422822079501163e-17,4.228684941591586e-16,-4.777643244450285e-16
681.4214,[M-H+HCOOH]-,-1.0465381022142248,-0.44436079108846566,-0.5108789717588332,-0.4198441726860398,-0.32568091268188104,0.18048807617109844,-0.7326647798514706,0.19215087182907378,-0.051796645335431137,-0.18872193218036576,0.011157606679680335,0.17635198456711393,0.154932337571875,0.4347899876110056,-0.8550860725533066,0.30892242731457936,0.022173686372764564,0.3056338538446468,0.973669868201067,-0.047734362968370816,-0.2797410035166298,-0.04410880141293915,0.0684067801301758,-0.03049503285691204,0.2065996088495886,-0.039876237535611696,-1.4434343479865767e-16,1.1328364052119392e-16,-1.2720531926218783e-17,2.379468817535904e-20,5.292018855956951e-17,9.58963670740565e-18
925.4798,[M-H]-,4.460301944424769,-3.8740884736887784,-0.287167912964192,-0.8955006978500344,0.010094331867640824,0.8112488172585962,0.17701301896933158,-0.39415070810780156,0.13827036707014503,0.854132591603567,0.47251771767088574,-0.17119681398878375,-0.16952887308939535,0.1773167161213956,0.032875746561934455,-0.09139407409217366,0.3502596880241075,-0.07797051268267258,0.0011576392135894226,-0.07697086980605561,0.038972985502271365,-0.042216783056194675,0.07556665708020906,-0.18172533551006598,-0.0021135656915417488,0.040207459290847715,3.0603819467289124e-18,4.706443398837558e-16,-1.8829896973883587e-17,6.05099084415244e-16,1.2845960976711455e-16,-4.823804930393678e-16
793.4374,[M-H]-,4.425384664798639,-3.9139905576643326,-0.26343610434750264,-0.6654048152468349,-0.37215839778787246,0.6482485088842045,0.22422638935032738,-0.08770325744261563,-0.005587936434101076,-0.16157621727946533,-0.19063021542437306,-0.002727639284502287,0.12555808879151087,0.017997315647486738,-0.024408680064396435,-0.1768380798517059,0.3377430738141888,-0.09688651971196677,-0.003997667619542611,-0.01214651350099934,0.1682832195529003,-0.0022328319996752343,0.009809185726530733,-0.23086418127262842,0.005289330733883875,0.0021087880990163163,-2.404803879009927e-16,-1.6067526931502645e-16,-8.268466007400851e-17,-3.9601082799804664e-16,1.0599639308555137e-17,3.7663036628542104e-16
845.4891,[M-H+HCOOH]-,-1.341953206756869,-0.32340061609708537,1.9121484381780973,0.56040666156454,-0.6460508927574639,0.39487179699707264,0.329527332697415,-0.30049402304099443,-0.6619009078215135,0.3287257632169081,-0.3985796193877438,-0.47301533512344973,-0.08015087149136366,0.32446530062824597,0.10234391298655772,0.01803724947374163,-0.06844698309863897,-0.07671119017128146,0.05904495060830041,0.2157819313230186,0.09331344071003198,0.025314081885418754,-0.016440638236364432,0.013028418604912665,0.02265159089174376,-0.007720823937959866,-1.2112787763986077e-16,1.081543104595635e-16,-2.3114671635570043e-16,-1.2444567598694545e-16,8.550576623829316e-17,-3.054959002784177e-16
977.5317,[M-H+HCOOH]-,-0.9972927561090033,0.24494568595055644,-0.8274235303582573,-0.07927158770434375,0.2786482279076341,-0.19595858069148234,0.33003460824549435,0.2231969335526498,0.10939000376187945,-0.09010621341615117,-0.24822905591012373,0.004615114018919983,0.09781549182812717,0.22536831003411495,0.2040626240186943,-0.12046192830524353,-0.07002560665110895,0.07743420617679436,-0.015886645620408084,0.052766262722191856,-0.010537490531814481,0.0074735950222742376,-0.025285634040629897,-0.04303040118518557,0.00038110449683742586,0.04236020527800914,-2.022142519040719e-16,4.9097835143694275e-17,4.065875296548389e-18,2.4494908221389055e-17,-1.7624389844772703e-16,-1.2826306032301698e-17
1007.5422,[M-H+HCOOH]-,-1.1566095061942976,-0.3203695648142612,-0.09089679527992457,-0.27903258871511916,-0.17263711647777621,0.25058843119591595,-0.7167455594831154,0.5391817524162635,-0.29270808522324815,-0.2774894174277042,0.29227726719779185,-0.16436907810303056,0.019690670042810318,0.07888814356890157,-0.3840684926998738,0.0926962935710257,0.1825650355329423,0.36166388220545326,-0.3344398106353452,-0.25138297858170905,-0.07096213933643672,0.29541748430956966,0.04729596593081,0.008489569372884703,0.3046188753229813,-0.06715246279938214,-1.1643013818829983e-16,1.871985935872466e-16,1.197444225368827e-16,1.156813503242351e-16,-8.107415694163803e-17,9.613026571028138e-17
1285.6451,[M-H+HCOOH]-,-0.9972927561090033,0.24494568595055644,-0.8274235303582573,-0.07927158770434377,0.2786482279076341,-0.19595858069148234,0.33003460824549435,0.22319693355265008,0.10939000376187896,-0.09010621341615124,-0.24822905591012331,0.0046151140189202005,0.09781549182812704,0.22536831003411475,0.20406262401869404,-0.12046192830524326,-0.07002560665110892,0.0774342061767942,-0.015886645620408153,0.05276626272219177,-0.010537490531814511,0.007473595022274212,-0.0252856340406299,-0.04303040118518556,0.0003811044968373802,0.04236020527800912,-2.0221425190407173e-16,4.909783514369941e-17,4.065875296543384e-18,2.4494908221379783e-17,-1.762438984477235e-16,-1.2826306032277513e-17
