target_col,experiment_name,val/mae,val/mse,val/r2_score,test/mae,test/mse,test/r2_score
Observed_CCS,mol2vec_adduct,'0.0174,'0.0005,'0.9385,'0.0147,'0.0003,'0.9143
Observed_CCS,mol2vec_without_adduct,'0.0177,'0.0005,'0.9337,'0.0138,'0.0003,'0.9343
Observed_CCS,estate_adduct,'0.0180,'0.0005,'0.9300,'0.0280,'0.0012,'0.7039
Observed_CCS,molt5_base_without_adduct,'0.0176,'0.0005,'0.9285,'0.0154,'0.0005,'0.8830
Observed_CCS,estate_without_adduct,'0.0198,'0.0006,'0.9244,'0.0348,'0.0015,'0.6311
Observed_CCS,scibert_without_adduct,'0.0194,'0.0006,'0.9228,'0.0165,'0.0004,'0.9032
Observed_CCS,scibert_adduct,'0.0196,'0.0006,'0.9210,'0.0185,'0.0007,'0.8231
Observed_CCS,molt5_small_adduct,'0.0193,'0.0007,'0.9163,'0.0246,'0.0009,'0.7808
Observed_CCS,molt5_small_without_adduct,'0.0208,'0.0008,'0.9122,'0.0173,'0.0004,'0.8902
Observed_CCS,chemberta_adduct,'0.0209,'0.0007,'0.9110,'0.0211,'0.0007,'0.8163
Observed_CCS,molt5_base_adduct,'0.0217,'0.0008,'0.9069,'0.0175,'0.0006,'0.8545
Observed_CCS,chemberta_without_adduct,'0.0217,'0.0008,'0.9044,'0.0209,'0.0006,'0.8397
Observed_CCS,pubchem_without_adduct,'0.0237,'0.0009,'0.8900,'0.0177,'0.0005,'0.8731
Observed_CCS,pubchem_adduct,'0.0250,'0.0012,'0.8744,'0.0155,'0.0003,'0.9225
Observed_CCS,molt5_large_without_adduct,'0.0241,'0.0010,'0.8639,'0.0193,'0.0005,'0.8727
Observed_CCS,molt5_large_adduct,'0.0258,'0.0012,'0.8609,'0.0212,'0.0007,'0.8263
Observed_CCS,selformer_without_adduct,'0.0279,'0.0012,'0.8609,'0.0254,'0.0010,'0.7627
Observed_CCS,selformer_adduct,'0.0273,'0.0012,'0.8599,'0.0209,'0.0007,'0.8350
Observed_CCS,rdkit_without_adduct,'0.0288,'0.0014,'0.8364,'0.0249,'0.0010,'0.7476
Observed_CCS,ecfp4_without_adduct,'0.0282,'0.0013,'0.8338,'0.0245,'0.0010,'0.7594
Observed_CCS,ecfp6_without_adduct,'0.0281,'0.0013,'0.8330,'0.0154,'0.0004,'0.8973
Observed_CCS,fcfp6_without_adduct,'0.0303,'0.0014,'0.8296,'0.0306,'0.0013,'0.6705
Observed_CCS,rdkit_adduct,'0.0304,'0.0015,'0.8203,'0.0254,'0.0011,'0.7282
Observed_CCS,ecfp6_adduct,'0.0274,'0.0013,'0.8151,'0.0239,'0.0009,'0.7768
Observed_CCS,fcfp4_without_adduct,'0.0294,'0.0015,'0.8129,'0.0320,'0.0017,'0.5825
Observed_CCS,fcfp6_adduct,'0.0306,'0.0015,'0.8109,'0.0289,'0.0010,'0.7482
Observed_CCS,fcfp4_adduct,'0.0293,'0.0014,'0.8066,'0.0293,'0.0012,'0.7058
Observed_CCS,ecfp4_adduct,'0.0309,'0.0015,'0.8059,'0.0292,'0.0012,'0.7041
Observed_CCS,avalon_without_adduct,'0.0375,'0.0023,'0.7169,'0.0276,'0.0013,'0.6825
Observed_CCS,avalon_adduct,'0.0385,'0.0025,'0.6938,'0.0350,'0.0018,'0.5406
Observed_CCS,standard_without_adduct,'0.0500,'0.0038,'0.5424,'0.0328,'0.0018,'0.5496
Observed_CCS,extended_adduct,'0.0495,'0.0037,'0.5423,'0.0389,'0.0019,'0.5300
Observed_CCS,fp2_adduct,'0.0507,'0.0038,'0.5377,'0.0454,'0.0033,'0.1882
Observed_CCS,fp2_without_adduct,'0.0497,'0.0038,'0.5369,'0.0307,'0.0016,'0.6095
Observed_CCS,hybridization_without_adduct,'0.0493,'0.0038,'0.5369,'0.0456,'0.0023,'0.4208
Observed_CCS,extended_without_adduct,'0.0517,'0.0041,'0.5321,'0.0343,'0.0023,'0.4137
Observed_CCS,standard_adduct,'0.0504,'0.0039,'0.5307,'0.0516,'0.0031,'0.2326
Observed_CCS,hybridization_adduct,'0.0510,'0.0042,'0.5248,'0.0331,'0.0018,'0.5595
Observed_Retention_time,estate_without_adduct,'0.1797,'0.1030,'0.7462,'0.1605,'0.0348,'0.8774
Observed_Retention_time,molt5_base_without_adduct,'0.1930,'0.1009,'0.7429,'0.2145,'0.0891,'0.6866
Observed_Retention_time,molt5_base_adduct,'0.1901,'0.1022,'0.7330,'0.1687,'0.0589,'0.7929
Observed_Retention_time,estate_adduct,'0.1786,'0.1062,'0.7205,'0.1229,'0.0526,'0.8149
Observed_Retention_time,scibert_without_adduct,'0.2063,'0.1136,'0.6939,'0.3765,'0.2293,'0.1932
Observed_Retention_time,molt5_small_without_adduct,'0.2099,'0.1310,'0.6698,'0.2729,'0.0991,'0.6511
Observed_Retention_time,scibert_adduct,'0.2070,'0.1054,'0.6638,'0.2775,'0.1010,'0.6445
Observed_Retention_time,mol2vec_without_adduct,'0.1957,'0.1164,'0.6568,'0.1498,'0.0289,'0.8983
Observed_Retention_time,mol2vec_adduct,'0.2131,'0.1285,'0.6481,'0.2685,'0.1289,'0.5463
Observed_Retention_time,molt5_large_without_adduct,'0.2229,'0.1528,'0.6455,'0.2982,'0.1357,'0.5225
Observed_Retention_time,molt5_small_adduct,'0.2249,'0.1434,'0.6444,'0.2420,'0.0913,'0.6786
Observed_Retention_time,molt5_large_adduct,'0.2206,'0.1429,'0.6326,'0.2197,'0.0787,'0.7229
Observed_Retention_time,fcfp6_without_adduct,'0.2292,'0.1366,'0.6228,'0.2767,'0.1364,'0.5198
Observed_Retention_time,fcfp4_without_adduct,'0.2292,'0.1405,'0.6169,'0.2529,'0.1136,'0.6002
Observed_Retention_time,fcfp6_adduct,'0.2302,'0.1339,'0.6114,'0.2178,'0.1133,'0.6013
Observed_Retention_time,fcfp4_adduct,'0.2547,'0.1435,'0.6113,'0.2836,'0.1309,'0.5393
Observed_Retention_time,ecfp4_without_adduct,'0.2228,'0.1486,'0.5981,'0.2274,'0.0959,'0.6627
Observed_Retention_time,avalon_adduct,'0.2280,'0.1523,'0.5900,'0.3248,'0.1345,'0.5265
Observed_Retention_time,ecfp6_without_adduct,'0.2533,'0.1546,'0.5788,'0.2334,'0.0852,'0.7001
Observed_Retention_time,chemberta_without_adduct,'0.2449,'0.1227,'0.5778,'0.3515,'0.2147,'0.2442
Observed_Retention_time,ecfp4_adduct,'0.2508,'0.1545,'0.5711,'0.2298,'0.0923,'0.6753
Observed_Retention_time,ecfp6_adduct,'0.2461,'0.1498,'0.5693,'0.2760,'0.1314,'0.5376
Observed_Retention_time,avalon_without_adduct,'0.2510,'0.1591,'0.5659,'0.3247,'0.1385,'0.5125
Observed_Retention_time,chemberta_adduct,'0.2438,'0.1403,'0.5470,'0.3413,'0.1918,'0.3250
Observed_Retention_time,rdkit_without_adduct,'0.2740,'0.1807,'0.4527,'0.3212,'0.1549,'0.4549
Observed_Retention_time,rdkit_adduct,'0.2933,'0.1973,'0.4092,'0.2880,'0.1233,'0.5662
Observed_Retention_time,standard_without_adduct,'0.3133,'0.2127,'0.3258,'0.3210,'0.1605,'0.4351
Observed_Retention_time,hybridization_without_adduct,'0.3139,'0.2127,'0.3202,'0.3140,'0.1546,'0.4558
Observed_Retention_time,standard_adduct,'0.3199,'0.2149,'0.3116,'0.3230,'0.1702,'0.4011
Observed_Retention_time,fp2_without_adduct,'0.3103,'0.2165,'0.3085,'0.3214,'0.1590,'0.4403
Observed_Retention_time,hybridization_adduct,'0.3166,'0.2179,'0.2904,'0.3062,'0.1618,'0.4305
Observed_Retention_time,extended_adduct,'0.3297,'0.2231,'0.2871,'0.3152,'0.1613,'0.4324
Observed_Retention_time,extended_without_adduct,'0.3297,'0.2174,'0.2871,'0.3203,'0.1612,'0.4327
Observed_Retention_time,fp2_adduct,'0.3279,'0.2191,'0.2860,'0.3434,'0.1893,'0.3337
Observed_Retention_time,pubchem_adduct,'0.3556,'0.2311,'0.2478,'0.4134,'0.2439,'0.1416
Observed_Retention_time,pubchem_without_adduct,'0.3551,'0.2390,'0.2448,'0.3678,'0.1921,'0.3239
Observed_Retention_time,selformer_without_adduct,'0.3350,'0.2341,'0.1869,'0.3842,'0.2623,'0.0770
Observed_Retention_time,selformer_adduct,'0.3493,'0.2457,'0.1246,'0.3515,'0.2420,'0.1483
Observed_m_z,estate_adduct,'0.0131,'0.0003,'0.9926,'0.0114,'0.0002,'0.9946
Observed_m_z,mol2vec_adduct,'0.0136,'0.0004,'0.9921,'0.0366,'0.0015,'0.9609
Observed_m_z,molt5_small_adduct,'0.0166,'0.0004,'0.9888,'0.0198,'0.0005,'0.9855
Observed_m_z,mol2vec_without_adduct,'0.0182,'0.0005,'0.9869,'0.0211,'0.0010,'0.9723
Observed_m_z,molt5_base_adduct,'0.0185,'0.0006,'0.9856,'0.0318,'0.0015,'0.9604
Observed_m_z,scibert_adduct,'0.0177,'0.0006,'0.9855,'0.0153,'0.0003,'0.9917
Observed_m_z,estate_without_adduct,'0.0196,'0.0006,'0.9851,'0.0270,'0.0011,'0.9697
Observed_m_z,scibert_without_adduct,'0.0203,'0.0006,'0.9845,'0.0261,'0.0011,'0.9701
Observed_m_z,molt5_base_without_adduct,'0.0230,'0.0009,'0.9796,'0.0325,'0.0015,'0.9603
